marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
FR	14952	R32VYUWDIB5LKE	0552774294	362925721	The God Delusion	Books	5	0	0	N	Y	a propos de ce livre	je conseille fortement ce bouquin à ceux qui sont intéressé par ce genre de sujets, en plus le prix est vraiment abordable.<br /><br />R. Dawkins au sommet	2013-02-13
FR	14952	R3CCMP4EV6HAVL	B004GJXQ20	268067011	A Game of Thrones (A Song of Ice and Fire, Book 1)	Digital_Ebook_Purchase	5	0	0	N	Y	wow	ce magnifique est livre , les personnages sont hors normes , intrigue totale et absolue , a lire absolument !!	2014-08-03
FR	17564	R14NAE6UGTVTA2	B00GIGGS6A	256731097	Huion H610 PRO	PC	3	1	3	N	Y	Ca fait le job	Je dirais qu'il a un défaut :<br />On ne peut pas totalement programmer les touches du stylet. On peut juste affecter des boutons de la souris. J'aurais aimé que ce soit n'importe quelle touche.<br /><br />Je la trouve très grande mais ça, je m'y ferai.	2015-07-07
FR	18940	R2E7QEWSC6EWFA	B00CW7KK9K	977480037	Withings Pulse - Suivi d'activité + Analyse du sommeil + Fréquence cardiaque, Noir	Sports	4	0	1	N	Y	Fidele a description	Je l'ai depuis quelques jours et j'en suis très heureuse<br />compte bien les pas, bonne synchronisation avec l'appli<br />et facile d'utilisation.	2014-06-16
FR	20315	R26E6I47GQRYKR	B002L6SKIK	827187473	Prometheus	Video DVD	2	3	5	N	N	décevant	je m'attendait à un bon film, car j'aime beaucoup le réalisateur, mais j'ai été très déçu: il n'y a pas beaucoup d'action n'y de suspens<br />Je trouve le film trop long pour le peu à dire... dommage	2013-06-10
FR	20842	R1RJMTSNCKB9LP	B00004YLIU	678427290	Kid A	Music	2	0	0	N	Y	10'	Ne disait pas sur l'annonce que c'était un 10', seulement Vinyl Album. J'était vraiment deçu, mais pour des raisons personneles n'était pas possible  de changer.	2013-04-15
FR	20913	R2P2XF84YELQBZ	B00AYHK7RU	108403123	The Next Day	Music	5	0	3	N	Y	the next day	du bon bowie,tr&egrave;s bon meme parfois.esperons que nous aurons &#34;the next time&#34;.A poss&eacute;der quand on aime le genre,ce qui est mon<br />cas!!!	2013-06-07
FR	21490	RJKULSX2Y5R07	B00CJ3V5UK	252503117	G.I. Joe 2 : Conspiration [Combo Blu-ray + DVD]	Video DVD	5	0	0	N	Y	tres bon film	très bon film beaucoup d'action l'image est le son sublime a visionner d'urgence je préfère ce deuxième volet personnellement tres bon moment passer	2014-11-07
FR	24196	R3UYE0U7SQCI8Q	B000FUM0TE	48021829	Amistad	Video DVD	5	2	3	N	Y	Excellent	Un sujet délicat mais parfaitement traité avec beaucoup d'intelligence. Un sujet de réflexion à méditer. De plus, les acteurs choisis sont très crédibles dans leur rôle. A voir et à revoir et surtout à conserver. Le produit m'est arrivé en parfait état. Merci au vendeur.	2012-11-16
FR	24196	R1TKJ7XFS3RDEB	B000UMXCTY	181554537	The Collection (Coffret 5 CD + 1 DVD)	Music	5	0	1	N	Y	C'est parfait	Un coffret d'un duo culte que les DVD nous permettent de faire revivre. Nous allons pouvoir vibrer à nouveau aux sons de ces voix et de ces mélodies magiques!	2013-04-23
FR	24196	R3S9JNS21QDBXP	B0044JV1K6	386772628	Braddock - Missing in action 3 [Import anglais]	Video DVD	5	0	2	N	Y	Excellent achat.	Un grand classique dans ce genre de films, mais un des plus réussis là où d'autres sont passés à côté. Rien n'y manque c'est parfait.	2013-08-02
FR	24196	R2Y4O06QMOGHD0	2226249672	753674225	Au revoir là-haut - Prix Goncourt 2013	Books	5	2	3	N	Y	Excellent achat	Livre offert pour un anniversaire et qui a énormément plu! Il faut ajouter que cet ami est un passionné de tout ce qui touche à la &#34;Grande Guerre&#34;...	2013-10-03
FR	24196	R3PS3P7G1ZT57W	B000A3IF8G	757843869	The Essential Michael Jackson	Music	5	0	0	N	Y	Excellent achat	Un artiste inoubliable.... Ce CD en est le témoin moi qui avais quelque peu oublié tant de &#34;tubes&#34; inoubliables pourtant...	2014-08-21
FR	24207	R1NFWFM2WWRWPM	B00B4VI8MQ	351620851	Epic Adventures: Cursed Onboard	Mobile_Apps	5	0	0	N	Y	jeux	Trop cool ce jeux est super cool mais comme tous le monde la dit il est trop court<br />Mais il y a de l'intrigue et sa on en trouve pas dans tous les jeux.	2014-01-31
FR	24207	R3QRIH5CXCXMEL	B00CW6DAKC	87169065	Super Ferme Mini	Mobile_Apps	4	4	6	N	Y	ajouter	Ajouter moi &agrave; cette ID<br />FAWVLGR  s' il vous plait<br /><br />Ce jeu est super mais c' est chiant car il faut toujours des CR sinon il est assez bien dans l' ensemble mais &agrave; chaque niveau passer il faudrait avoir au moins 2 CR .	2014-07-29
FR	24629	RBCSM1KTYH6FX	B0031ES8P6	724566333	Ty - Ty40819 - Peluche - Hello Kitty - Tartan Rose - 15 Cm	Toys	4	0	0	N	Y	Très bien	Bonne idée de cadeau ( qui a plu, pour ma part ) assez douce, mais le tissu de la robe s’abîme assez vite en dessous.	2014-01-13
FR	24844	R2BIWHFIS7X808	B007AR7OGE	414300413	First lady of song compilation	Music	5	3	4	N	Y	Great	Just great complination, there are 48 cds inside and quality is perfect. Also there is a booklet which writes songnames per CD.	2012-12-17
FR	25935	R2VGNSD09UEW5T	B00XO12REY	271191040	The Monsanto Years	Music	1	1	9	N	Y	commentaire sur Monsanto years	Pas beaucoup de subtilité mélodique , on est sur des tempos tres rustiques sans grand interet , onest loin du Grand Neil Young de psychédélique pill	2015-07-21
FR	26425	RTGC85CCO9EMU	B007ZMHBBM	893659638	Checkerboard Lounge : Live Chicago 1981 [(+CD)]	Video DVD	5	0	0	N	Y	Muddy Waters	Superbe session en comité restreint durant laquelle les musicos se lachent !<br />Le blues et le jazz sont les seuls styles musicaux qui peuvent permettre un jeu palpitant entre des joueurs qui n'ont jamais répété ensemble.	2012-11-22
FR	26552	R128Q27ZKTLGJ1	0446310786	994527755	To Kill a Mockingbird	Books	5	0	0	N	Y	Beautiful!	I know it's a classic but really it is a marvellous book! Read it!!!!! Very well written, smart, funny, sometimes sad... beautiful	2015-01-19
